date,symbol,dps_local,source_currency,dps_krw
2021-12-29,068270.KQ,660.3973,KRW,660.3973
2021-12-29,075580.KQ,150.0,KRW,150.0
2021-12-29,075580.KS,150.0,KRW,150.0
2021-12-29,082920.KS,75.0,KRW,75.0
2021-12-29,089600.KQ,800.0,KRW,800.0
2021-12-29,089860.KS,900.0,KRW,900.0
2021-12-29,090460.KS,250.0,KRW,250.0
2021-12-29,098120.KS,30.0,KRW,30.0
2021-12-29,100840.KQ,133.33333,KRW,133.33333
2021-12-29,101160.KS,60.0,KRW,60.0
2021-12-29,101490.KS,100.0,KRW,100.0
2021-12-29,103140.KS,1000.0,KRW,1000.0
2021-12-29,112610.KS,600.0,KRW,600.0
2021-12-29,119610.KQ,450.0,KRW,450.0
2021-12-29,119850.KS,50.0,KRW,50.0
2021-12-29,131970.KQ,160.0,KRW,160.0
2021-12-29,148150.KS,33.333332,KRW,33.333332
2021-12-29,166090.KS,300.0,KRW,300.0
2021-12-29,170790.KQ,250.0,KRW,250.0
2021-12-29,189300.KS,96.78864,KRW,96.78864
2021-12-29,192400.KS,700.0,KRW,700.0
2021-12-29,192820.KQ,550.0,KRW,550.0
2021-12-29,194480.KS,500.0,KRW,500.0
2021-12-29,200710.KS,70.0,KRW,70.0
2021-12-29,210980.KQ,1039.4658,KRW,1039.4658
2021-12-29,2124.T,18.25,JPY,188.87288713455197
2021-12-29,214450.KS,600.0,KRW,600.0
2021-12-29,215000.KS,3500.0,KRW,3500.0
2021-12-29,218410.KQ,150.0,KRW,150.0
2021-12-29,237690.KS,500.0,KRW,500.0
2021-12-29,271560.KQ,750.0,KRW,750.0
2021-12-29,280360.KS,1600.0,KRW,1600.0
2021-12-29,285490.KQ,150.0,KRW,150.0
2021-12-29,294570.KQ,100.0,KRW,100.0
2021-12-29,294870.KQ,600.0,KRW,600.0
2021-12-29,298020.KS,50000.0,KRW,50000.0
2021-12-29,306200.KS,3500.0,KRW,3500.0
2021-12-29,316140.KS,750.0,KRW,750.0
2021-12-29,344820.KS,1400.0,KRW,1400.0
2021-12-29,348210.KS,500.0,KRW,500.0
2021-12-29,353810.KQ,75.0,KRW,75.0
2021-12-29,356860.KQ,250.0,KRW,250.0
2021-12-29,375500.KS,1350.0,KRW,1350.0
2022-02-01,SXT,0.41,USD,494.09919799804686
2022-02-08,LEVI,0.1,USD,119.68499755859375
2022-02-14,LLY,0.98,USD,1175.2551904296874
2022-02-16,IRMD,1.0,USD,1196.8299560546875
2022-02-25,EAF,0.1,USD,120.60000000000001
2022-02-25,GLW,0.27,USD,325.62
2022-03-01,SBLK,2.0,USD,2401.860107421875
2022-03-01,STNG,0.1,USD,120.09300537109375
2022-03-03,BAC,0.21,USD,252.6615051269531
2022-03-16,TSM,0.49,USD,608.4232263183594
2022-03-17,WFG,0.25,USD,305.75
2022-03-30,000660.KS,300.0,KRW,300.0
2022-03-30,005490.KQ,4000.0,KRW,4000.0
2022-03-30,4680.T,3.333333,JPY,32.73474683842278
2022-03-30,4689.T,5.81,JPY,57.05666944503784
