date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-10-26,benchmark_kodex200,hold,0,0,0,,,33726.7874,18355410.0,18389136.7874,19000000.0,-610863.2126,1
2021-10-26,benchmark_qqq,hold,0,0,0,,,333157.9395,23007701.7932,23340859.7327,19000000.0,4340859.7327,1
2021-10-26,benchmark_spy,hold,0,0,0,,,493884.4862,22881705.8568,23375590.343,19000000.0,4375590.343,1
2021-10-26,smic_follower,hold,0,0,0,,,2584.9052,22996380.603,22998965.5081,19000000.0,3998965.5081,15
2021-10-26,smic_follower_v2,hold,0,0,0,,,9550.0413,20518254.212,20527804.2533,19000000.0,1527804.2533,12
2021-10-27,all_weather,hold,0,0,0,,,962175.2647,19866553.2535,20828728.5182,19000000.0,1828728.5182,4
2021-10-27,benchmark_gld,hold,0,0,0,,,144563.4853,19036396.1317,19180959.617,19000000.0,180959.617,1
2021-10-27,benchmark_kodex200,hold,0,0,0,,,33729.0959,18201645.0,18235374.0959,19000000.0,-764625.9041,1
2021-10-27,benchmark_qqq,hold,0,0,0,,,333180.7429,23066439.9316,23399620.6745,19000000.0,4399620.6745,1
2021-10-27,benchmark_spy,hold,0,0,0,,,493918.2907,22785603.8134,23279522.1041,19000000.0,4279522.1041,1
2021-10-27,smic_follower,hold,0,0,0,,,2585.0821,22669169.038,22671754.1201,19000000.0,3671754.1201,15
2021-10-27,smic_follower_v2,hold,0,0,0,,,9550.695,20127501.518,20137052.2129,19000000.0,1137052.2129,12
2021-10-28,all_weather,hold,0,0,0,,,962241.122,20001960.7025,20964201.8244,19000000.0,1964201.8244,4
2021-10-28,benchmark_gld,hold,0,0,0,,,144573.3801,19110779.2839,19255352.664,19000000.0,255352.664,1
2021-10-28,benchmark_kodex200,hold,0,0,0,,,33731.4045,18112140.0,18145871.4045,19000000.0,-854128.5955,1
2021-10-28,benchmark_qqq,hold,0,0,0,,,333203.5479,23419301.1372,23752504.6851,19000000.0,4752504.6851,1
2021-10-28,benchmark_spy,hold,0,0,0,,,493952.0976,23100846.2744,23594798.372,19000000.0,4594798.372,1
2021-10-28,smic_follower,hold,0,0,0,,,2585.259,22487694.3517,22490279.6108,19000000.0,3490279.6108,15
2021-10-28,smic_follower_v2,hold,0,0,0,,,9551.3487,20034603.0878,20044154.4365,19000000.0,1044154.4365,12
2021-10-29,all_weather,hold,0,0,0,,,962306.9838,19849619.6278,20811926.6116,19000000.0,1811926.6116,4
2021-10-29,benchmark_gld,hold,0,0,0,,,144583.2756,18870593.6484,19015176.9241,19000000.0,15176.9241,1
2021-10-29,benchmark_kodex200,hold,0,0,0,,,33733.7133,17820675.0,17854408.7133,19000000.0,-1145591.2867,1
