source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\star\2025-12-12_STAR_RHFIC.md,star,2025-09-25,2025-12-12,KR,RFHIC,218410,KOSDAQ,Buy,42050.0,"42,050",31600.0,"31,600",,
data\markdown\star\2025-12-12_STAR_S-Oil.md,star,2025-11-27,2025-12-12,KR,S-Oil,010950,KOSPI,Buy,119900.0,"119,900",80900.0,"80,900",,
data\markdown\star\2025-12-12_STAR_대덕전자.md,star,2025-09-25,2025-12-12,KR,대덕전자,353200,KOSPI,Buy,44000.0,"44,000",29100.0,"29,100",,
data\markdown\star\2025-12-12_STAR_브이엠.md,star,2025-11-27,2025-12-12,KR,브이엠,089970,KOSDAQ,Buy,59300.0,"59,300",23350.0,"23,350",,
data\markdown\star\2025-12-12_STAR_산일전기.md,star,2025-11-13,2025-12-12,KR,산일전기,062040,KOSPI,Buy,220100.0,"220,100",147300.0,"147,300",,
data\markdown\star\2025-12-12_STAR_삼성E&A.md,star,2025-09-25,2025-12-12,KR,삼성E&A,028050,KOSPI,Buy,42700.0,"42,700",27900.0,"27,900",,
data\markdown\star\2025-12-12_STAR_삼성SDI.md,star,2025-11-06,2025-12-12,KR,삼성SDI,006400,KOSPI,Buy,479000.0,"479,000",325000.0,"325,000",,
data\markdown\star\2025-12-12_STAR_삼성바이오로직스.md,star,2025-12-04,2025-12-12,KR,삼성바이오로직스,207940,KOSPI,Buy,2142000.0,"2,142,000원",1654000.0,"1,654,000",,
data\markdown\star\2025-12-12_STAR_삼성전기.md,star,2025-09-25,2025-12-12,KR,삼성전기,009150,KOSPI,Buy,309000.0,"309,000",201500.0,"201,500",,
data\markdown\star\2025-12-12_STAR_삼성증권.md,star,2025-09-25,2025-12-12,KR,삼성증권,016360,KOSPI,Buy,99700.0,"99,700",72900.0,"72,900",,
data\markdown\star\2025-12-12_STAR_서진시스템.md,star,2025-11-13,2025-12-12,KR,서진시스템,178320,KOSDAQ,Buy,38360.0,"38,360",24650.0,"24,650",,
data\markdown\star\2025-12-12_STAR_에이피알.md,star,2025-09-25,2025-12-12,KR,에이피알,278470,KOSPI,Buy,318500.0,"318,500",217500.0,"217,500",,
data\markdown\star\2025-12-12_STAR_엑시콘.md,star,2025-09-25,2025-12-12,KR,엑시콘,092870,KOSDAQ,Buy,21700.0,"21,700",15350.0,"15,350",,
data\markdown\star\2025-12-12_STAR_엘앤에프.md,star,2025-11-06,2025-12-12,KR,엘앤에프,066970,KOSPI,Buy,204200.0,"204,200",125600.0,"125,600",,
data\markdown\star\2025-12-12_STAR_유진테크.md,star,2025-11-27,2025-12-12,KR,유진테크,084370,KOSDAQ,Buy,119500.0,"119,500",79100.0,"79,100",,
data\markdown\star\2025-12-12_STAR_중국 반도체 굴기.md,star,2025-12-12,2025-12-12,,중국 반도체 굴기,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2025-12-12_STAR_한국항공우주.md,star,2025-12-04,2025-12-12,KR,한국항공우주,047810,KOSPI,Buy,156800.0,"156,800",107300.0,"107,300",,
data\markdown\star\2025-12-13_STAR_GaN 반도체.md,star,2025-01-02,2025-12-13,,GaN 반도체,,,Hold,,,,,,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price
data\markdown\star\2026-03-14_STAR_HPSP.md,star,2026-01-01,2026-03-14,KR,HPSP,403870,KOSDAQ,Buy,44900.0,"44,900",44900.0,"44,900원",,
data\markdown\star\2026-03-14_STAR_SK가스.md,star,2026-01-01,2026-03-14,KR,SK가스,018670,KOSPI,Buy,318500.0,"318,500",225000.0,"225,000",,
data\markdown\star\2026-03-14_STAR_그래피.md,star,2026-02-13,2026-03-14,KR,그래피,318060,KOSDAQ,Buy,87400.0,"87,400",51000.0,"51,000",,
data\markdown\star\2026-03-14_STAR_기가비스.md,star,2026-01-29,2026-03-14,KR,기가비스,420770,KOSDAQ,Buy,153300.0,"153,300",55200.0,"55,200",,
data\markdown\star\2026-03-14_STAR_녹십자.md,star,2026-01-15,2026-03-14,KR,녹십자,006280,KOSPI,Buy,287100.0,"287,100",162900.0,162.900,,
data\markdown\star\2026-03-14_STAR_롯데관광개발.md,star,2026-01-15,2026-03-14,KR,롯데관광개발,032350,KOSPI,Buy,30500.0,"30,500",30500.0,"30,500원",,
data\markdown\star\2026-03-14_STAR_링크솔루션.md,star,2026-02-13,2026-03-14,KR,링크솔루션,474650,KOSDAQ,Buy,100400.0,"100,400",68500.0,"68,500",,
data\markdown\star\2026-03-14_STAR_슈프리마.md,star,2026-01-29,2026-03-14,KR,슈프리마,236200,KOSDAQ,Buy,89600.0,"89,600",46400.0,"46,400",,
data\markdown\star\2026-03-14_STAR_신세계.md,star,2026-01-29,2026-03-14,KR,신세계,004170,KOSPI,Buy,424500.0,"424,500",297500.0,297.500,,
